index,plane_label,ifc_type,ifc_global_id,ifc_name
243566,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243567,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243568,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243569,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243570,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243571,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243572,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243573,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243574,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243575,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243576,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243578,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243579,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243581,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243582,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243583,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243584,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243585,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243586,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243587,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243588,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243589,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243590,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243591,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243592,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243593,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243594,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243595,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243596,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243597,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243598,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243599,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243600,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
